					Annotator 1			Annotator 2			Annotator 3			Annotator 4			Annotator 5		
all-673226		❤	✨	❤	1	1	1	1	1	1	0	0	0	2	2	2	2	1	2
crawled-349962		😎	😎	👌	2	2	2	1	1	0	2	2	2	1	1	2	2	2	1
all-831316		😉	✨	😉	2	0	2	2	1	2	2	0	2	2	0	2	1	0	1
crawled-318011		✨	😎	😎	1	2	2	1	2	2	0	2	2	0	2	2	1	1	1
all-605317		📷	✨	📷	1	1	1	2	1	2	1	2	1	1	1	1	1	0	1
all-1030645		😎	😎	✨	1	1	1	2	2	1	1	1	0	1	1	0	1	1	0
crawled-358584		☀	😭	😭	2	0	0	1	1	1	1	0	0	0	2	2	2	1	1
all-760309		🎄	😂	😂	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1
all-737463		😊	☀	😊	2	2	2	1	1	1	2	2	2	2	2	2	1	2	1
crawled-352901		👌	😊	😊	2	2	2	1	1	1	2	2	2	1	2	2	1	2	2
crawled-359657		☀	😎	😎	1	1	1	1	1	1	0	2	2	1	2	2	1	1	1
all-963114		🎄	❤	❤	1	1	1	1	2	2	2	2	2	1	2	2	1	2	2
crawled-311699		📷	📷	✨	0	0	0	1	1	1	1	1	0	1	1	0	1	1	0
crawled-357569		☀	📷	📷	0	2	2	1	2	2	0	0	0	0	2	2	0	2	2
all-767408		✨	🎄	🎄	1	2	2	1	1	1	2	2	2	1	2	2	1	2	2
all-952321		💯	💯	✨	1	1	1	0	0	1	0	0	2	2	2	1	1	1	0
crawled-355616		😭	💋	😭	2	2	2	1	2	1	0	1	0	2	2	2	0	2	0
crawled-356658		💋	😊	😊	0	2	2	1	1	1	0	1	1	1	2	2	1	1	1
crawled-349514		😭	🙏	😭	1	0	1	1	1	1	0	0	0	2	0	2	1	1	1
crawled-349324		🙏	🙏	😭	2	2	0	2	2	1	2	2	0	2	2	0	2	2	0
crawled-207915		❤	❤	🙌	1	1	2	1	1	1	2	2	0	1	1	1	2	2	1
crawled-205950		📷	🙌	📷	0	0	0	1	1	1	0	2	0	2	1	2	0	1	0
crawled-343077		😂	🙏	😂	0	1	0	1	1	1	0	0	0	2	2	2	0	2	0
all-908966		☀	📷	📷	1	0	0	1	1	1	2	2	2	2	1	1	2	1	1
crawled-359316		😭	😭	☀	0	0	0	1	1	1	0	0	0	1	1	0	0	0	2
crawled-207919		🙌	😊	😊	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
all-790251		☀	❤	❤	1	1	1	1	1	1	0	0	0	1	1	1	2	1	1
crawled-346838		🙏	😭	😭	0	1	1	0	1	1	0	0	0	1	2	2	1	2	2
all-655216		😎	☀	😎	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1
all-946433		❤	❤	🎄	1	1	2	1	1	1	0	0	0	1	1	1	1	1	1
crawled-353721		💋	❤	❤	0	2	2	1	2	2	0	2	2	1	2	2	0	2	2
all-669886		❤	☀	❤	2	0	2	2	1	2	2	0	2	2	0	2	2	0	2
crawled-215975		😭	🎉	😭	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0
crawled-359637		💯	☀	💯	1	0	1	0	1	0	0	2	0	2	2	2	2	0	2
all-1042468		🔥	☀	🔥	0	1	0	0	1	0	0	2	0	0	1	0	0	2	0
crawled-357786		😭	☀	🔥	1	1	0	0	1	0	0	0	0	1	0	1	0	0	1
all-625987		📷	📷	☀	1	1	1	2	2	1	2	2	0	1	1	1	2	2	1
crawled-352489		😂	😂	👌	1	1	1	1	1	0	0	0	0	0	0	1	2	2	1
crawled-208526		🙌	🔥	🔥	2	0	0	2	1	1	2	0	0	1	1	1	1	1	1
crawled-349072		🙏	😭	🙏	2	0	2	2	0	2	1	0	1	2	1	2	2	1	2
crawled-205730		😊	😭	🙌	1	0	2	1	1	1	1	0	2	2	1	2	2	0	1
crawled-343669		🙏	😭	😭	2	0	0	2	1	1	2	0	0	2	2	2	2	0	0
crawled-342365		🙏	😊	😊	1	1	1	1	1	1	0	1	1	1	1	1	2	1	1
crawled-341344		💪	😊	😊	2	1	1	2	1	1	2	1	1	2	1	1	2	1	1
crawled-359126		😊	☀	😊	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2
crawled-343917		🎄	🙏	🎄	0	1	0	1	2	1	0	1	0	0	2	0	0	1	0
all-765497		😊	☀	😊	1	2	1	2	2	2	1	1	1	2	2	2	2	2	2
crawled-349834		🙏	😊	😊	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1
crawled-353894		😂	😂	💋	0	0	2	1	1	1	0	0	0	1	1	1	0	0	1
crawled-361462		😭	😭	☀	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2
crawled-355260		😊	😊	💋	0	0	0	1	1	1	0	0	0	2	2	0	1	1	0
crawled-357279		😭	☀	😭	1	2	1	1	1	1	0	2	0	1	2	1	1	2	1
crawled-357041		💋	😭	😭	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0
crawled-207495		📷	📷	🙌	0	0	0	1	1	1	0	0	2	0	0	1	0	0	1
crawled-348315		💯	💯	🙏	0	0	2	0	0	1	0	0	2	0	0	2	0	0	1
crawled-356838		😭	😭	💋	1	1	0	1	1	1	0	0	0	2	2	1	2	2	1
crawled-205683		😊	😊	🙌	1	1	1	1	1	1	0	1	2	2	2	1	1	1	2
crawled-216213		😭	🎉	😭	0	1	0	0	1	0	1	0	0	1	0	1	0	2	0
crawled-344060		🙏	😊	😊	1	1	1	1	1	1	0	1	1	2	1	1	2	1	1
all-719649		❤	❤	☀	0	0	1	1	1	1	2	2	0	2	2	0	2	2	2
crawled-355555		💋	✨	😭	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0
crawled-209110		😊	🙌	😊	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1
crawled-343005		🙏	💯	💯	1	1	1	2	0	0	2	2	2	1	2	2	1	0	0
crawled-213605		📷	🎉	📷	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1
crawled-211815		😭	😊	🎉	2	1	0	0	2	1	0	2	0	1	2	0	0	1	1
crawled-351916		😂	😂	👌	1	1	2	1	1	2	2	2	0	2	2	1	0	0	1
crawled-209207		🙌	😭	😭	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0
crawled-346341		🙏	💯	💯	2	1	1	2	0	0	2	0	0	2	0	0	2	0	0
crawled-350822		💯	💯	👌	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0
crawled-349783		💯	💯	🙏	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
crawled-214170		😭	🎉	😭	0	2	0	0	2	0	0	2	0	0	1	0	0	2	0
all-861635		✨	☀	✨	0	0	0	1	1	1	0	2	0	1	2	1	1	1	1
all-595057		🔥	☀	🔥	0	1	0	0	1	0	0	0	0	1	0	1	1	1	1
crawled-353012		👌	😭	😭	2	0	0	1	0	0	0	0	0	1	0	0	2	0	0
crawled-206931		❤	❤	🙌	0	0	1	1	1	2	0	0	0	0	0	1	1	1	2
crawled-350012		😂	😂	👌	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1
crawled-350838		👌	😉	💯	0	2	0	2	1	0	0	0	0	1	2	1	1	1	1
crawled-354618		💋	📷	📷	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0
crawled-361484		😂	😂	☀	1	1	1	2	2	1	0	0	0	2	2	1	2	2	1
crawled-205215		🙌	😂	🔥	1	1	2	1	1	0	2	0	0	2	1	0	2	0	0
all-897982		☀	📷	📷	1	1	1	1	2	2	0	1	1	1	1	1	1	1	1
crawled-205951		📷	🙌	📷	1	0	1	2	1	2	0	2	0	2	0	2	0	1	0
crawled-353135		😊	👌	😊	2	2	2	1	1	1	1	1	1	1	0	1	2	1	2
crawled-213003		🎉	😊	😊	1	1	1	1	1	1	0	2	2	1	2	2	2	1	1
all-951889		☀	😂	😂	2	1	1	2	1	1	2	0	0	2	2	2	2	1	1
crawled-357107		❤	❤	💋	1	1	0	2	2	2	0	0	2	2	2	2	1	1	1
crawled-212501		😊	😊	🎉	1	1	1	1	1	1	2	2	0	2	2	0	1	1	1
crawled-348928		😭	🙏	😭	2	2	2	2	2	2	2	0	2	2	2	2	1	2	1
crawled-343855		🙏	✨	🔥	1	2	1	1	1	1	2	0	0	0	2	1	1	0	1
crawled-208304		😂	😂	🙌	0	0	0	1	1	0	0	0	0	2	2	0	1	1	1
crawled-215103		😊	🎉	😊	1	2	1	1	1	1	2	0	2	2	1	2	1	1	1
crawled-343154		🙏	🙌	🙌	2	2	2	1	1	1	2	2	2	1	2	2	2	1	1
crawled-350794		💯	💯	👌	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1
crawled-359030		☀	😊	😊	1	2	2	2	1	1	2	2	2	2	2	2	2	1	1
crawled-357074		😊	😊	💋	1	1	1	1	1	1	2	2	0	2	2	1	1	1	0
crawled-360516		😭	☀	😭	0	0	0	0	2	0	0	2	0	1	1	1	0	1	0
crawled-215761		😂	🎉	😂	0	0	0	2	1	2	0	0	0	2	0	2	2	1	2
crawled-351903		😭	😭	👌	2	2	1	2	2	0	0	0	0	2	2	1	2	2	1
crawled-321678		❄	😭	😭	0	2	2	1	1	1	0	0	0	0	2	2	0	1	1
crawled-206499		😭	🔥	🙌	0	1	1	0	2	1	0	0	2	2	0	0	0	1	1
crawled-341857		💪	💯	💯	2	1	1	0	0	0	2	0	0	1	1	1	2	0	0
crawled-344522		🙏	😊	😊	1	1	1	0	1	1	0	2	2	0	2	2	1	1	1
crawled-352492		👌	💪	💪	1	2	2	1	1	1	0	2	2	0	1	1	0	1	1
crawled-341342		💪	💯	💯	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0
crawled-208475		😭	😭	🙌	0	0	2	0	0	1	0	0	2	0	0	2	0	0	1
crawled-206524		🙌	☀	☀	2	2	2	2	1	1	2	2	2	2	1	1	2	1	1
crawled-355436		😊	💋	😊	2	1	2	1	2	1	2	2	2	1	2	1	0	2	0
crawled-352556		👌	😂	😂	1	1	1	2	1	1	0	0	0	2	2	2	2	1	1
crawled-340652		😊	💪	😊	1	0	1	1	1	1	2	0	2	2	0	2	2	0	2
all-921806		😊	😊	☀	2	2	0	2	2	1	2	2	0	2	2	0	2	2	1
crawled-204824		💯	💯	🙌	0	0	1	0	0	1	0	0	2	1	1	1	0	0	1
all-810317		☀	😊	😊	1	1	1	2	2	2	2	2	2	2	2	2	0	1	1
crawled-213281		😎	🎉	😎	2	2	2	1	1	1	2	0	2	1	0	1	1	0	1
all-921703		☀	❤	❤	2	1	1	2	2	2	2	0	0	2	1	1	2	1	1
crawled-350382		😭	😭	👌	2	2	0	1	1	0	2	2	0	2	2	0	2	2	1
crawled-217538		🎉	😊	😊	1	1	1	0	1	1	2	2	2	0	2	2	0	1	1
crawled-206109		🙌	😭	😭	1	2	2	1	0	0	2	0	0	1	1	1	1	0	0
all-938001		☀	🎄	☀	2	0	2	1	1	1	2	0	2	2	0	2	1	1	1
crawled-217549		😊	🎉	😊	2	2	2	1	0	1	2	0	2	2	2	2	1	1	1
crawled-209087		🙌	❤	😭	2	1	0	1	1	1	2	0	0	1	0	0	1	0	0
crawled-321697		❄	🎄	🎄	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
crawled-351326		👌	😉	😉	1	2	2	0	1	1	0	2	2	1	1	1	1	1	1
crawled-214797		😭	😭	🎉	0	0	2	0	0	1	0	0	2	1	1	2	1	1	2
all-974412		❤	🎄	❤	1	1	1	2	1	2	0	0	0	1	0	1	1	1	1
crawled-206661		😭	😭	🙌	0	0	1	0	0	1	0	0	2	0	0	1	0	0	1
crawled-352975		👌	😭	😭	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0
crawled-354252		😂	💋	😂	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0
crawled-213222		🙌	🎉	🙌	1	2	1	2	1	2	2	2	2	2	0	2	1	1	1
all-882027		😂	😂	☀	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1
all-979054		❤	❤	☀	1	1	2	1	1	1	2	2	2	1	1	2	1	1	1
crawled-353260		😭	😭	👌	0	0	0	1	1	1	0	0	0	1	1	1	0	0	1
crawled-205012		☀	🙌	☀	2	1	2	2	1	2	2	2	2	2	1	2	2	1	2
crawled-344371		🙏	❤	❤	0	2	2	1	2	2	0	2	2	0	2	2	1	2	2
crawled-211987		🎉	🎉	😭	1	1	0	1	1	0	2	2	0	2	2	0	2	2	0
all-1040032		💋	💋	🎄	0	0	2	1	1	1	0	0	2	2	2	1	2	2	0
crawled-352367		😊	😊	👌	1	1	1	1	1	1	2	2	2	0	0	1	1	1	1
crawled-216595		🙏	🙏	🎉	2	2	1	1	1	1	2	2	0	2	2	1	2	2	1
crawled-349927		😊	😊	👌	1	1	1	2	2	2	2	2	2	2	2	2	1	1	1
crawled-351181		💯	💯	👌	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1
crawled-341112		😭	😭	💪	1	1	1	1	1	1	0	0	2	0	0	2	0	0	1
crawled-209278		🙌	💯	💯	1	2	2	1	0	0	2	2	2	1	1	1	1	1	1
crawled-341575		💪	📷	😂	0	0	1	1	1	1	0	0	0	1	0	1	0	0	1
crawled-216208		🎉	😊	😊	1	2	2	1	2	2	0	2	2	1	2	2	2	1	1
crawled-352470		👌	😭	😭	0	1	1	1	0	0	1	0	0	1	0	0	1	1	1
crawled-217459		🎄	🎉	🎄	2	1	2	1	1	1	0	0	0	1	1	1	1	2	1
crawled-205417		🙌	😂	😂	0	1	1	1	2	2	0	2	2	0	2	2	0	2	2
crawled-216246		🎉	😭	😭	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0
crawled-344369		🙏	😂	😂	0	0	0	0	1	1	0	0	0	1	2	2	0	1	1
crawled-215815		😊	😊	🎉	2	2	0	1	1	1	2	2	0	2	2	0	2	2	2
crawled-208496		📷	🙌	📷	0	0	0	2	2	2	0	2	0	0	2	0	0	2	0
all-759657		😊	🔥	🎄	1	2	1	1	0	1	0	0	0	2	1	0	1	1	2
crawled-205614		😊	😊	🙌	2	2	0	1	1	1	2	2	2	2	2	1	2	2	1
crawled-343250		😊	🙏	😊	1	2	1	1	1	1	0	1	0	2	1	2	2	1	2
crawled-341128		💪	😂	😂	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
all-854176		❤	🎄	❤	0	1	0	2	2	2	2	0	2	2	1	2	2	1	2
crawled-206150		🙌	😊	😊	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
crawled-205676		😂	🙌	😂	1	0	1	1	1	1	0	0	0	2	0	2	1	1	1
crawled-351090		❤	👌	❤	1	1	1	2	1	2	2	2	2	2	1	2	2	1	2
crawled-208479		🙌	💯	💯	1	1	1	1	0	0	2	0	0	2	1	1	0	1	1
all-970775		☀	🎄	☀	2	0	2	1	0	1	2	0	2	1	0	1	2	1	2
crawled-347224		🙏	💋	💋	2	2	2	2	2	2	0	0	0	2	1	1	1	2	2
crawled-342089		✨	✨	🙏	1	1	2	1	1	2	2	2	2	1	1	2	1	1	2
crawled-205378		😊	😊	🙌	2	2	1	2	2	2	2	2	2	2	2	1	2	2	2
all-644469		🎄	❤	❤	0	2	2	1	1	1	0	0	0	0	1	1	1	1	1
crawled-352818		👌	💯	💯	2	1	1	1	0	0	0	0	0	2	1	1	1	1	1
crawled-205573		😂	🙌	😂	1	1	1	1	0	1	0	2	0	1	2	1	2	1	2
crawled-217507		🎉	💯	💯	1	2	2	0	0	0	0	0	0	1	0	0	1	2	2
crawled-340991		😊	💪	😊	1	0	1	1	0	1	0	0	0	1	0	1	2	1	2
all-752930		🎄	🎄	❤	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2
crawled-350685		👌	❄	❄	1	2	2	0	1	1	0	0	0	1	1	1	1	2	2
crawled-205821		🙏	🙌	🙏	2	2	2	2	2	2	2	0	2	2	0	2	2	2	2
crawled-207521		😭	🙌	😭	1	2	1	1	1	1	0	2	0	1	2	1	1	1	1
all-1039171		❤	❤	🎄	1	1	2	1	1	1	0	0	0	1	1	2	1	1	1
crawled-356058		❤	❤	💋	2	2	1	1	1	1	2	2	0	2	2	2	2	2	1
crawled-345382		💯	🙏	💯	1	1	1	0	1	0	0	0	0	1	0	1	1	2	1
crawled-347846		😭	😭	🙏	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1
crawled-343294		🙏	😭	😭	2	0	0	1	0	0	2	0	0	2	0	0	1	1	1
crawled-212475		😂	🎉	😂	1	0	1	1	0	1	0	0	0	1	1	1	2	2	2
crawled-212859		😭	🎉	😭	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1
crawled-355165		😂	😂	💋	0	0	0	0	0	1	0	0	0	1	1	0	1	1	1
crawled-341393		💪	💯	💯	2	1	1	1	0	0	0	0	0	0	1	1	1	2	2
crawled-355490		💋	❤	❤	2	2	2	1	1	1	0	0	0	2	2	2	1	1	1
crawled-214535		🎉	😭	😭	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1
crawled-356603		💋	😂	😂	0	0	0	0	1	1	0	0	0	2	1	1	1	1	1
crawled-341304		💯	💯	💪	1	1	2	0	0	1	0	0	2	0	0	1	0	0	2
crawled-215979		🎉	😊	😊	1	2	2	0	1	1	0	2	2	0	2	2	2	2	2
crawled-206910		🎉	🙌	🎉	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2
crawled-356714		💋	💋	❤	0	0	0	0	0	1	0	0	2	2	2	1	1	1	1
crawled-207098		🙏	🙏	🙌	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2
crawled-352258		👌	💯	💯	2	2	2	1	0	0	2	0	0	2	1	1	1	2	2
all-971722		✨	🎄	✨	2	0	2	1	1	1	2	0	2	2	0	2	2	1	2
crawled-341516		💯	💯	💪	2	2	2	0	0	2	0	0	2	0	0	2	2	2	2
crawled-212049		😊	🎉	😊	2	0	2	2	1	2	2	0	2	2	2	2	2	2	2
all-872775		🔥	🎄	🔥	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
crawled-349712		💯	🙏	💯	1	2	1	0	1	0	0	0	0	1	2	1	2	2	2
crawled-206344		😭	😭	🙌	1	1	0	1	1	1	0	0	0	2	2	0	1	1	1
crawled-341990		😊	💪	😊	2	0	2	1	1	1	2	0	2	2	0	2	2	2	2
crawled-356311		😊	💋	😂	1	0	0	1	1	1	0	0	0	0	2	2	1	1	1
crawled-214994		😎	😎	🎉	2	2	0	1	1	0	0	0	0	2	2	0	2	2	2
crawled-354522		😂	💋	📷	1	0	0	1	1	1	0	0	0	2	0	2	1	0	2
crawled-214770		🎉	😂	😭	0	1	1	0	1	1	0	0	0	0	2	2	0	1	1
crawled-342209		🙏	✨	✨	2	1	1	1	1	1	0	0	0	2	0	0	2	1	1
crawled-353690		💋	💯	💯	0	1	1	0	0	0	0	0	0	2	1	1	1	1	1
crawled-344916		🙏	😉	😉	1	2	2	1	2	2	0	0	0	2	2	2	1	1	1
crawled-340201		😂	😂	💪	2	2	0	1	1	1	0	0	2	1	1	2	1	1	1
crawled-348191		🙏	🙌	🙌	1	2	2	2	2	2	0	0	0	2	2	2	2	2	2
crawled-341568		✨	💪	✨	0	0	0	1	1	1	0	2	0	0	2	0	1	2	1
all-659662		📷	🎄	📷	0	1	0	2	1	2	2	0	2	2	0	2	2	1	2
all-1013743		❄	🎄	❄	2	2	2	2	2	2	2	0	2	2	1	2	2	2	2
crawled-349925		😭	👌	😂	0	0	0	1	0	1	0	0	0	0	2	1	0	1	1
crawled-216437		💯	🎉	💯	2	0	2	0	1	0	0	2	0	1	0	1	2	2	2
all-894192		📷	🎄	📷	0	0	0	1	0	1	2	0	2	1	0	1	2	1	2
crawled-349905		👌	😊	😊	1	1	1	0	1	1	0	0	0	2	1	1	1	1	1
crawled-356384		💋	❤	😊	0	1	2	1	1	2	0	2	2	1	2	2	1	2	2
crawled-350125		🔥	👌	🔥	2	2	2	0	0	0	0	0	0	1	1	1	1	1	1
crawled-321769		😂	❄	😂	1	0	1	1	0	1	0	0	0	1	0	1	1	2	1
crawled-355178		😭	😭	💋	1	1	0	1	1	1	0	0	0	2	2	0	1	1	0
crawled-215110		🙏	🎉	🙏	1	2	1	2	2	2	0	2	0	1	2	1	2	2	2
crawled-213006		😭	😊	🎉	2	2	1	0	2	1	0	0	2	0	1	1	0	2	2
crawled-345359		😊	😊	🙏	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2
crawled-353615		😭	😭	💋	2	2	0	1	1	1	0	0	0	1	1	0	0	0	1
crawled-217518		😂	🎉	😂	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1
crawled-215061		😊	😊	🎉	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2
crawled-216310		😭	🎉	🎉	2	1	1	1	1	1	0	1	1	2	0	0	2	1	1
crawled-213641		🔥	🔥	🎉	1	1	0	0	0	0	0	0	0	1	1	0	1	1	0
crawled-354439		❤	💋	❤	0	0	0	2	1	2	0	0	0	1	1	1	2	1	2
crawled-346242		😊	🙏	😊	1	1	1	2	2	2	0	0	0	2	1	2	2	2	2
crawled-351058		👌	🔥	🔥	2	1	1	0	1	1	0	0	0	1	2	2	0	1	1
all-726011		🎄	❤	❤	2	1	1	2	2	2	2	0	0	2	1	1	2	1	1
crawled-214818		🎉	💯	💯	1	1	1	2	1	1	2	0	0	2	1	1	2	1	1
all-660000		🔥	🔥	🎄	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0
crawled-216368		😭	🎉	😭	0	0	0	1	1	1	0	0	0	1	2	1	0	2	0
all-654877		❤	🎄	❤	0	1	0	1	1	1	2	0	2	0	1	0	1	1	1
crawled-343703		🙏	😂	😂	2	1	1	1	1	1	0	0	0	1	0	0	2	1	1
crawled-342625		🙏	🔥	🔥	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1
crawled-344107		🙏	💯	😭	0	2	0	0	0	0	0	0	0	1	0	0	1	1	0
crawled-340634		😂	😂	💪	2	2	0	1	1	1	0	0	0	2	2	0	2	2	1
all-793567		🔥	🎄	🔥	0	2	0	0	1	0	0	0	0	1	2	1	1	2	1
crawled-353935		❤	💋	❤	2	2	2	2	2	2	2	0	2	2	1	2	2	1	2
crawled-352598		👌	🎉	🎉	2	2	2	1	2	2	2	0	0	2	1	1	1	2	2
crawled-356856		💋	💯	❤	2	2	2	1	0	1	0	0	2	2	2	0	2	1	2
crawled-216233		😊	🎉	😊	2	0	2	1	1	1	1	0	1	2	1	2	2	2	2
crawled-214490		🎉	😊	😊	0	2	2	1	1	1	0	0	0	0	1	1	2	2	2
crawled-347773		🙏	💯	💯	0	1	1	0	0	0	0	0	0	0	2	2	0	1	1
crawled-214040		😊	😊	🎉	1	1	0	1	1	1	2	2	0	2	2	1	2	2	2
crawled-348326		😭	😭	🙏	1	1	2	1	1	1	0	0	0	2	2	2	2	2	2
crawled-348648		😂	🙏	😂	0	0	0	1	0	1	0	0	0	1	0	1	1	1	1
crawled-342293		🙏	😭	😭	1	2	2	0	2	2	0	0	0	0	2	2	0	2	2
crawled-347309		😊	🙏	😊	2	1	2	1	1	1	2	0	2	2	0	2	2	1	2
crawled-354196		😭	😭	💋	0	0	2	1	1	1	0	0	0	0	0	2	1	1	2
crawled-350770		☀	👌	☀	1	0	1	1	0	1	0	0	0	1	1	1	2	0	2
crawled-216123		🔥	🎉	😭	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0
crawled-352044		👌	💯	💯	1	1	1	0	0	0	0	0	0	2	2	2	1	2	2
crawled-354960		💋	💯	💯	0	0	0	1	0	0	0	0	0	1	2	2	1	1	1
crawled-215709		🎉	❤	❤	0	0	0	1	1	1	0	0	0	2	2	2	2	2	2
crawled-350885		❤	❤	👌	1	1	1	2	2	1	2	2	0	2	2	2	2	2	1
crawled-351278		❄	👌	❄	2	1	2	1	0	1	0	0	0	2	1	2	2	0	2
crawled-352645		😜	👌	😜	0	0	0	1	0	1	0	0	0	1	0	1	1	0	1
crawled-356260		💋	✨	✨	0	2	2	1	1	1	0	2	2	0	2	2	0	1	1
all-712955		❤	🎄	❤	1	0	1	1	0	1	0	0	0	2	0	2	2	1	2
crawled-353251		😎	😎	👌	2	2	1	2	2	1	2	2	0	2	2	1	2	2	1
crawled-340492		💪	😎	😎	0	2	2	1	1	1	0	0	0	0	1	1	2	2	2
crawled-355633		😭	😭	💋	1	1	1	1	1	1	0	0	0	2	2	1	2	2	1
crawled-356148		💋	😂	😂	1	0	0	0	1	1	0	0	0	1	1	1	2	1	1
crawled-356284		💋	❤	❤	2	2	2	2	2	2	0	2	2	1	2	2	2	2	2
crawled-217176		😊	🎉	😊	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
crawled-351891		😎	😎	👌	2	2	2	1	1	1	2	2	0	2	2	2	2	2	1
all-615924		❤	❤	🎄	0	0	0	1	1	0	0	0	0	1	1	0	2	2	1
crawled-355887		❤	💋	❤	2	2	2	2	2	2	2	0	2	2	1	2	2	2	2
crawled-340709		💪	💯	💯	0	1	1	1	0	0	1	0	0	2	1	1	1	1	1
crawled-356181		😭	💋	😭	0	0	0	0	1	0	0	0	0	0	2	0	1	2	1
crawled-213814		🔥	🔥	🎉	1	1	2	1	1	2	0	0	2	1	1	2	2	2	2
crawled-352519		👌	📷	📷	2	0	0	2	1	1	2	0	0	2	0	0	2	0	0
all-941272		❤	❤	🎄	0	0	0	2	2	2	0	0	0	1	1	0	2	2	1
all-945549		😊	😊	🎄	2	2	0	1	1	2	2	2	0	2	2	1	2	2	1
crawled-321569		🔥	🔥	❄	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
crawled-214200		😊	🎉	😊	2	1	2	2	2	2	1	2	1	2	2	2	2	2	2
crawled-212357		😊	🎉	😊	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
crawled-349904		👌	😊	😊	1	1	1	0	1	1	2	1	1	2	1	1	2	2	2
crawled-354690		😊	😊	💋	2	2	2	1	1	2	2	2	0	2	2	2	1	1	2
crawled-352456		😭	😭	👌	0	0	2	0	0	1	0	0	0	0	0	2	0	0	1
crawled-340449		❤	💪	😊	0	0	2	1	1	1	0	0	2	1	0	2	2	2	2
crawled-351534		👌	😂	😭	2	2	2	1	1	1	2	0	0	2	2	0	1	2	2
crawled-354673		📷	💋	📷	1	0	1	2	1	2	0	0	0	1	2	1	2	1	2
all-1049456		📷	📷	🎄	2	2	2	1	1	1	0	0	0	2	2	1	2	2	2
crawled-353980		❤	💋	❤	0	0	0	1	0	1	2	0	2	2	2	2	2	2	2
all-786090		😊	🎄	😊	2	0	2	1	0	1	0	0	0	2	0	2	2	1	2
crawled-356005		😭	😭	💋	2	2	0	1	1	0	0	0	0	2	2	0	2	2	1
crawled-355310		🎉	💋	🎉	2	1	2	2	2	2	2	0	2	2	2	2	2	2	2
crawled-350946		😭	👌	😭	1	0	1	1	1	1	0	0	0	2	2	2	2	1	2
all-962150		📷	📷	🎄	2	2	2	1	1	2	2	2	0	1	1	2	2	2	2
crawled-355606		💋	🔥	🔥	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1
all-818654		✨	🎄	✨	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
crawled-340596		💯	💯	💪	2	2	2	0	0	1	0	0	0	1	1	2	2	2	2
crawled-354280		❤	💋	💋	1	0	0	1	1	1	0	0	0	0	2	2	2	2	2
crawled-340488		💯	😭	💪	2	1	1	0	1	1	0	0	0	1	1	2	1	0	2
all-853017		❤	❤	🎄	2	2	0	2	2	0	2	2	0	2	2	0	2	2	1
all-819798		😎	😎	🎄	2	2	2	1	1	1	2	2	0	2	2	0	2	2	2
crawled-356283		😭	😭	💋	0	0	2	0	0	2	0	0	0	0	0	2	1	1	2
crawled-356922		💯	💯	💋	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
all-1030422		📷	🎄	📷	0	0	0	1	0	1	0	0	0	1	0	1	2	1	2
